,text,target
16,"In the wake of the SCOTUS ruling further weakening the Voting Rights Act, take a look at how one Republican in Michigan was subjected to harsh attacks from within his own party for simply acknowledging the validity of the election results in his state.
https://t.co/pJt84RbqTZ",1
17,"Happy Fourth of July, and Happy Birthday, Malia! It’s been such a joy to watch you begin to make your own way in the world with poise, grace, and humor. I miss the days when you thought the fireworks were for you. https://t.co/tEF7q1wtEi",1
18,"Libraries are citadels of knowledge and empathy—and they’ve played an extraordinarily important role in my life. I spoke with @SmithsonianSec Bunch about our shared love of books, A Promised Land, and the role storytelling plays in shaping our history. https://t.co/jbWdAK7Zkp",1
19,"Our progress on the journey to equality sometimes feels like two steps forward, one step back. But when marriage equality became the law of the land six years ago, justice arrived like a thunderbolt. https://t.co/6GxqTE8Gmh",1
20,"As a dad of two daughters, this movie really hit home for me. I'm glad to see it has resonated with so many people. https://t.co/lAD8wtPgDu",1
21,"Congratulations to the @CripCampFilm team on their @PeabodyAwards! I could not be prouder of the disability rights activists who inspired this film, the directors who brought their story to life, and our team at Higher Ground for their hard work. https://t.co/LXRp0dsrfk",1
22,"By telling her story, Natoma Canfield helped us pass the Affordable Care Act. She was an inspiration to me and so many others, which is why her letter still hangs in my office. Michelle and I send our condolences to Natoma’s family. https://t.co/QwII5NNM4P",1
23,"The Senate is preparing to take action on a bill that would strengthen our democracy, but Republican Senators are afraid to even debate it. This week, @EricHolder and I had a chance to talk with folks across the country about what’s at stake – and how we can make a difference. https://t.co/ZxicbLJaPY",1
24,"I’m really proud of young men like James and Lazarus who, despite the obstacles they have faced, are raising their daughters with tremendous love and care. To all the dads out there—Happy Father’s Day. https://t.co/MUGTp3s6xi",1
25,"Now that Juneteenth is a federal holiday, take a minute to learn about Opal Lee—the woman who did more than anyone to make it happen. Let’s follow her lead and try to leave our grandkids a better world than the one we came up in. https://t.co/r2NhXQxd60",1
26,"On Monday, I’m joining @EricHolder for a grassroots conversation with @AllOnTheLine to talk about why redistricting matters and how the Senate can help protect our democracy. Join us: https://t.co/gXAnHHIVlL",1
27,"And because he extended the special enrollment period until August 15th, anyone who needs coverage can go to https://t.co/ob1Ynoesod and sign up.",1
28,"Now we need to build on the Affordable Care Act and continue to strengthen and expand it. That’s what @POTUS Biden has done through the American Rescue Plan, giving more families the peace of mind they deserve.",1
29,"The principle of universal coverage has been established, and 31 million people now have access to care through the law we passed—with millions more who can no longer be denied coverage or charged more because of a preexisting condition.",1
30,"Today, the Supreme Court upheld the Affordable Care Act. Again. This ruling reaffirms what we have long known to be true: the Affordable Care Act is here to stay.",1
31,"On the ninth anniversary of DACA, I’m thinking about all the brave DREAMers who have stepped forward to tell their stories. They have fueled a movement that is still working to guarantee the permanent protections they deserve. I will always be inspired by their fight. https://t.co/YrVuuVTrrE",1
32,"Happy birthday, Sasha! You’ve grown so much, and it’s been a joy to watch you become the person we always hoped you’d be. Your mom and I can’t wait to see where life takes you next. https://t.co/IJ8hEpy01u",1
33,"It's always great catching up with @POTUS, and I'm grateful for everything he and his administration have done to protect and expand the Affordable Care Act. Let's keep working until every American has access to quality, affordable health care. https://t.co/WYCipaCeX4",1
34,"On National Gun Violence Awareness Day, we #wearorange to honor those we’ve lost. As we begin to emerge from the pandemic, let’s not forget the other epidemic killing far too many Americans—and keep working to pass commonsense gun safety laws that will protect our communities.",1
35,"Coaches like Ernest Radcliffe are changing lives every single day. They understand how sports can help us build relationships, communicate better, and learn how to get back up when life knocks us down.

Thanks for letting me stop by practice, Coach! https://t.co/bKoXgzZGtP",1
36,"Yesterday, I sat down with some of the Obama Presidential Center’s neighbors—local business owners who help hold the South Side of Chicago together. We talked about how the @ObamaFoundation can catalyze more inclusive economic development and their hopes for the future. https://t.co/aTMmwMlcHH",1
37,Michelle and I are excited to share our latest show from Higher Ground: We The People. Some of our favorite artists got together with amazing animators to remix civics—and the result is a lot better than what we had in school. Check it out on @Netflix this July 4. https://t.co/PlsSyq5pgk,1
38,"It’s great to be back in my hometown and even better to spend some time with talented young people in Jackson Park. I’m proud of the Wolfpack for a terrific season, and for their leadership off the field as well. Thanks for letting me give a guest pep talk! https://t.co/md3qjvffxY",1
39,".@brhodes has been a close advisor and a good friend for more than a decade. His new book, After the Fall, is a personal, timely look at how America has shaped the world we live in—for better and worse—and the importance of continuing to lead by example. It's a great read! https://t.co/YwoUeV9Dk7",1
40,"On the 100th anniversary of the Tulsa Race Massacre, we remember all those who were killed and the survivors who bravely continue to share their stories so that we never forget this painful part of our history. Take a moment to learn about what happened: https://t.co/RiqrSpKGNz",1
41,"This Memorial Day, let’s remember the men and women who sacrificed everything for the people they served with and the country they loved. We owe them all an enormous debt of gratitude. https://t.co/uPSn54O9Xs",1
42,.@MarcusRashford is way ahead of where I was at 23—and not just because he’s a better athlete. It was great talking with him about everything from our shared love of reading to how we can lift up the next generation of leaders. https://t.co/mRF8H4JVbG,1
43,"At today’s @MBK_Alliance Leadership Forum, we’re talking about the amazing levels of activism we’ve seen since George Floyd was killed—and the need to reimagine policing and public safety. Join us live. 

https://t.co/p6ucOZgwtD",1
44,"The COVID-19 vaccines are a miracle of modern science, and getting one is the best way to protect yourself and your family. If you haven’t already, schedule an appointment near you at https://t.co/k4jKpPT5qo.",1
45,"At a time when so much of the debate around vaccinations and other public health measures has been politicized, this article offers a useful reminder of the role of modern science in fundamentally transforming all of our lives. https://t.co/oCWWHNQPcI",1
46,"When injustice runs deep, progress takes time. But if we can turn words into action and action into meaningful reform, we will, in the words of James Baldwin, “cease fleeing from reality and begin to change it.”",1
47,"Today, more people in more places are seeing the world more clearly than they did a year ago. It’s a tribute to all those who decided that this time would be different—and that they, in their own ways, would help make it different.",1
48,"George Floyd was murdered one year ago today. Since then, hundreds more Americans have died in encounters with police—parents, sons, daughters, friends taken from us far too soon. But the last year has also given us reasons to hope.",1
49,"On Wednesday, I’ll join activists, community leaders, and young people from the @MBK_Alliance for a conversation about transforming tragedy into meaningful reform in the year since George Floyd's murder.

Find out how you can join us live: https://t.co/ZxDyucx4Xo https://t.co/tSyDcEQ6js",1
50,"I recently spoke with a group of HBCU students who are helping folks in their communities get vaccinated. They’re doing amazing work, and have some great advice about how to answer questions and build trust.
https://t.co/GxOiPtOtpB",1
51,Spending time with young folks always makes me hopeful about the future. I had a great time catching up with @ChiPubSchools South Shore students and talking about some of our plans for the Obama Presidential Center. https://t.co/SUNdh2o6Gu,1
52,"This month marks 60 years since the Freedom Riders bravely set out on two buses to challenge segregation in the South.
 
To mark this anniversary, the @ObamaFoundation spoke with three of those freedom riders. I hope you’ll listen to their story: https://t.co/KBfBnVaJYz",1
53,"The other day I had a chance to visit a COVID-19 vaccination site in Greenbelt, MD. It was great to see so many folks getting their shot. If you need one, sign up today at https://t.co/k4jKpPT5qo — and then spread the word so we can keep our families and communities safe. https://t.co/iyR2IqCTD4",1
54,"On International Nurses Day, let’s celebrate the nurses and medical professionals around the world who do so much for so many. And let’s thank them the best way we can: by getting the COVID-19 vaccine and encouraging our friends and family to do the same.",1
55,"When @POTUS signed the American Rescue Plan, it led to the largest expansion of health care since the Affordable Care Act. Now close to 1 million people have signed up for health care since February. Make sure you're covered at https://t.co/ob1Ynoesod. https://t.co/A113SWN49q",1
56,"Happy Mother’s Day to @MichelleObama and all the moms celebrating today. I hope you take a moment to thank the women who love you in that special way that mothers do, and remember those who are no longer with us. https://t.co/Uky8xMqHRl",1
57,He was exactly what we needed and more than we ever expected. We will miss him dearly. https://t.co/CHweCxwJ7a,1
58,"He tolerated all the fuss that came with being in the White House, had a big bark but no bite, loved to jump in the pool in the summer, was unflappable with children, lived for scraps around the dinner table, and had great hair. https://t.co/1x4VOMsLGR",1
59,"Today our family lost a true friend and loyal companion. For more than a decade, Bo was a constant, gentle presence in our lives—happy to see us on our good days, our bad days, and everyday in between. https://t.co/qKMNojiu9V",1
60,"Zahrah’s story is a reminder that the Obama Presidential Center isn’t just about creating a place for people to visit. It’s about investing in the South Side, and giving Chicagoans an opportunity to build a brighter future. https://t.co/OYv8UAynGO",1
61,"Happy 90th birthday to Willie Mays! If it wasn't for folks like Willie and Jackie Robinson, I might never have made it to the White House. The spirit he played with and the way he carried himself changed the game and people’s attitudes. I’m glad he’s still going strong. https://t.co/DTlRlart5U",1
62,It was because of them I was able to travel to New York City later that week and tell some of the people who had a loved one murdered by al Qaeda on September 11: America has never forgotten your loss. Watch my full conversation with Bill: https://t.co/XKR8xm8Xw8,1
63,"This week, Admiral Bill McRaven joined me to reflect on the operation against Osama bin Laden ten years ago. 

Looking back, I am grateful to Bill, his team, and the thousands of people across government, whose work made it possible for that mission to succeed. https://t.co/XcRxpAJaea",1
64,"Bernie Wong was a trailblazer who spent her life advocating for Asian Americans and immigrant communities in Chicago and across the U.S. Her legacy of community leadership inspired me and so many others, and her impact will be felt for generations to come. https://t.co/1s88ozW4xJ",1
65,"During President @JoeBiden’s first 100 days, the economy has created more than 1 million jobs, more than 200 million shots have been administered, and we’re on our way to cutting child poverty in half. And as we saw last night, this is just the beginning. https://t.co/T89Kxxd0WU",1
66,States have just learned how many seats they have in Congress for the next decade. This process is an important step in making sure our maps—and electoral process—better reflect our communities. Get involved in the fight for fair maps with @AllOnTheLine: https://t.co/hudtiWoZjW,1
67,"The world’s attention must remain on Myanmar, where I’ve been appalled by heartbreaking violence against civilians and inspired by the nationwide movement that represents the voice of the people. https://t.co/zBkJqEeq0E",1
68,"I love wandering into independent bookstores and discovering new voices and new authors. So on Independent Bookstore Day, I wanted to talk with some of the folks who help support authors and nourish our communities. https://t.co/H8SqOV0nAa",1
69,No challenge poses a greater threat to our planet and to future generations than climate change. I’m proud that the @ObamaFoundation supports young people leading this fight and that the Obama Presidential Center reflects our commitment to sustainability. https://t.co/3SL3Dy50qU,1
70,"Today, a jury did the right thing. But true justice requires much more. Michelle and I send our prayers to the Floyd family, and we stand with all those who are committed to guaranteeing every American the full measure of justice that George and so many others have been denied. https://t.co/mihZQHqACV",1
71,"With all the enormous challenges facing the world, it’s worth taking the time to appreciate extraordinary human achievement and our relentless impulse toward discovery.
https://t.co/MYjsH5SZ6a",1
72,"I want to share a new book, Power to the Public, that illustrates how nonprofits and governments can use technology to solve some of the most pressing issues of our time. It includes some good examples and is worth a read for anyone who cares about making change happen. https://t.co/1la9TGUMTV",1
73,"Walter Mondale championed progressive causes and changed the role of VP—so leaders like @JoeBiden could be the last ones in the room when decisions were made. In selecting Geraldine Ferraro, he also paved the way for @VP to make history. Michelle and I send prayers to his family.",1
74,Charles and @Shaq agree: we can all help end this pandemic by getting the COVID-19 vaccine. It's the only way to keep everyone safe and help us get back to all the things we miss most—from seeing family and friends to watching sports in person. https://t.co/y2DlprGPds,1
75,"After nearly two decades in Afghanistan, it’s time to recognize that we have accomplished all that we can militarily, and bring our remaining troops home. I support @POTUS’s bold leadership in building our nation at home and restoring our standing around the world. https://t.co/BrDzASXD3G",1
76,Michelle and I are thrilled to be one step closer to bringing the Obama Presidential Center to the South Side of Chicago. We hope it will help lift up the South Side and breathe new life into Jackson Park and the surrounding communities. https://t.co/IItJNFyoAp,1
77,You can find resources and ways to help here: https://t.co/2KcB4T3b0I,1
78,"Our hearts are heavy over yet another shooting of a Black man, Daunte Wright, at the hands of police. It’s important to conduct a full and transparent investigation, but this is also a reminder of just how badly we need to reimagine policing and public safety in this country. https://t.co/sgcbRjlApr",1
79,"Through his extraordinary example, His Royal Highness Prince Philip proved that true partnership has room for both ambition and selflessness — all in service of something greater. Our thoughts are with Her Majesty the Queen, the Royal Family, and the British people. https://t.co/qbH2ycbcaA",1
80,"The only way we’ll be able to beat this pandemic is if enough people get vaccinated. So join me, Michelle, and Americans everywhere in getting the COVID-19 vaccine as soon as it’s available to you—and encourage your friends and family to do the same. https://t.co/HSjb2DUl4u https://t.co/4CT0fyRHou",1
81,"Bruce @Springsteen and I close out our podcast, Renegades: Born in the USA, back where it all began: with a conversation about the story of America and how to restore faith in its promise. Listen to our final episode on Spotify. https://t.co/KWmDc2YBLv https://t.co/NkNHRvbwwi",1
82,Read about other developments from communities working together to reimagine policing in our recent @MBK_Alliance report. https://t.co/kLBjeG9iPQ,1
83,More places are experimenting with programs that send civilian responders instead of police to help people experiencing mental health crises. It’s a promising development in law enforcement in the wake of this summer’s protests. https://t.co/kMj3pTp0pU,1
84,"This Easter, I hope we can all take some time to reflect on the blessings we enjoy and the hope we have for a brighter future. From our family to yours, have a safe and happy Easter. https://t.co/hbTao0fIWd",1
85,"Congratulations to @MLB for taking a stand on behalf of voting rights for all citizens. There’s no better way for America’s pastime to honor the great Hank Aaron, who always led by example.",1
86,"It’s always great catching up with @IsabelWilkerson, and this time we’re talking about A Promised Land and our mutual love of books with @BNBuzz. Take a look: https://t.co/BFvUyPMYo2",1
87,"Bruce and I agree that our most important anchor over the years has been our families. We’re both lucky enough to have remarkable partners who ground us, and kids who help us understand what really matters in life. Listen to our conversation on @Spotify: https://t.co/Tdl0izWsup https://t.co/72IDp72Vn5",1
88,"My family and I are mourning the loss of our beloved grandmother, Sarah Ogwel Onyango Obama, affectionately known to many as “Mama Sarah” but known to us as “Dani” or Granny. We will miss her dearly, but we’ll celebrate with gratitude her long and remarkable life. https://t.co/avDY4f1PVu",1
89,"As we build the Obama Presidential Center on the South Side of Chicago, we're focused on generating sustainable jobs for the local community. Our new workforce initiative will open doors to those often left out of the construction industry. https://t.co/D5fAHFMdit",1
90,"Let’s be clear: This is a deliberate attempt to undermine our democracy by making it harder to vote. That’s why passing the For the People Act is so important, and why every one of us needs to keep up the fight. Our future depends on it. https://t.co/YwBib0JYZw",1
91,"Now we need to keep it up. Because until every single American has access to quality, affordable health care, we have more work to do—and I’m grateful to President Biden for continuing to lead the fight.",1
92,"The American Rescue Plan lowers premiums for millions of families, makes health insurance more affordable for low-and middle-income Americans, and provides incentives for states to expand Medicaid and cover as many as four million additional Americans.",1
93,"And now, thanks to the hard work of President Biden, Senator Schumer, Speaker Pelosi, and Americans all across the country who have spent years fighting against repeal and pushing to improve the law, our starter home is starting to look pretty spacious.",1
94,But I’ve always said that the ACA is like a starter home—it’s our job to keep tinkering with it and improving it over time.,1
95,The Affordable Care Act has helped 20 million Americans get coverage—and up to 130 million Americans can no longer be denied coverage because of a preexisting condition. It has been a lifeline for Americans who've lost their jobs and their health insurance during the pandemic.,1
96,"As part of the American Rescue Plan, @POTUS just signed the largest expansion of health care since the Affordable Care Act. It’s an example of how government is supposed to work, and exactly what I hoped would happen when I signed the ACA into law 11 years ago today. https://t.co/G7WUgYdxOp",1
97,A once-in-a-century pandemic cannot be the only thing that slows mass shootings in this country. It’s time for leaders everywhere to listen to the American people when they say enough is enough. https://t.co/7MEJ87Is3E,1
98,"Join me, @ProtectOurCare, and health care advocates from across the country to discuss 11 years of the Affordable Care Act and the work we still need to do to make sure all Americans have access to quality, affordable health care. Watch now: https://t.co/Rae2yr8EjZ",1
99,"Bruce @Springsteen and I both had complicated relationships with our fathers. In our latest conversation on Renegades: Born in the USA, we discuss our upbringing, masculinity, and the role our fathers played in helping us become the men we are today. https://t.co/FNriJIUw3r https://t.co/tqGXS6SzMj",1
100,"11 years after the Affordable Care Act was passed, it’s getting even better. I’ll be having a conversation with @ProtectOurCare this Monday, March 22 at 1:15 PM ET and hope you’ll join: https://t.co/SpbyOP81Ky",1
101,.@POTUS set a goal to deliver 100 million vaccine shots in 100 days. His administration hit the milestone in just 58. Let’s keep it going: Please get the vaccine as soon as it’s available to you. It’s the only way to beat this pandemic. https://t.co/uYmwRMMmYw,1
102,"Like many of you, I’m thrilled that #MarchMadness is finally back. You can check out my picks here: https://t.co/S5mlQofvAp https://t.co/xyePa9ux2y",1
103,"Michelle and I pray for the victims, their families, everyone grieving these needless and devastating killings—and we urge meaningful action that will save lives.",1
104,Yesterday's shootings are another tragic reminder that we have far more work to do to put in place commonsense gun safety laws and root out the pervasive patterns of hatred and violence in our society.,1
105,"Even as we’ve battled the pandemic, we’ve continued to neglect the longer-lasting epidemic of gun violence in America. Although the shooter’s motive is not yet clear, the identity of the victims underscores an alarming rise in anti-Asian violence that must end.",1
106,"Congrats to directors @NicoleNewnham, @JimLeBrecht, and everyone with @CripCampFilm on the Oscar nomination! The heart, passion, and brilliance of those who led the disability rights movement is something to celebrate. Michelle and I hope you'll watch their story on Netflix.",1
107,I could not be prouder of the @ChiPubSchools students I spoke with recently about A Promised Land. One of the reasons I wrote this book was for young people to be able to see themselves in my story—and I hope our conversation left them as inspired as it left me. https://t.co/Aov53IvX6l,1
108,"For the latest episode of our podcast, I talk to Bruce @Springsteen about my time as a community organizer and the influences that led to me pursuing a career in public service. Take a listen on Spotify: https://t.co/pxARdCUpFO https://t.co/l67AZEFuC5",1
109,"When @POTUS was elected, he said help was on the way—and he delivered. The American Rescue Plan is landmark legislation that will ring through generations, lifting up families and beating back this pandemic. 
 
Here's how it will help people like you: https://t.co/EabnMBoXhy",1
110,"Michelle and I got vaccinated against COVID-19 because we know it’s the best way to beat this pandemic, protect one another, and get the country back up and running again. So I hope you’ll get the vaccine as soon as it’s available to you. It could save your life. https://t.co/OJLwZbv0iz",1
111,"From my first cross-country road trip as a child to Bruce’s experience coming of age toward the end of the Vietnam War, @Springsteen and I each continue to reflect on moments from our upbringing that helped shape our view of America. Listen here: https://t.co/3vQxU2zQub https://t.co/BPwubQuBcv",1
112,"Fifty-six years after Bloody Sunday, our march is not yet over. There are more steps to be taken, more bridges to be crossed. And that’s why the Obama Presidential Center is designed to honor the giants who carried us and inspire the next generation to lead us forward. https://t.co/0ac3aWgCY0",1
113,This is the kind of progress that’s possible when we elect leaders across government who are devoted to making people’s lives better—and a reminder of why it’s so important to vote.,1
114,"This landmark legislation will help families pay rent and put food on the table, lift millions of children out of poverty, make health care more affordable, aid small businesses, fund broad-based vaccination efforts, and make it easier for states to reopen schools.",1
115,Elections matter—and we’re seeing why. Congratulations to the Biden Administration and to the American people on a COVID relief bill that will improve the lives of families across the country.,1
116,.@BillGates' new book is an exceptionally clear and accessible primer on climate change. He's unblinking in the difficulty of meeting this challenge but maintains a cautious optimism that it can be met—and provides a framework for action that is both specific and workable. https://t.co/Ukms2M9iK5,1
117,"And as we rightly celebrate what Democrats accomplished in the 2020 election, it’s always worth analyzing those successes in depth—and looking at where we came up short—as we look toward future cycles. This interview includes some ideas worth considering: https://t.co/c75VpLwkgD",1
118,The Biden administration’s commitment to democratic values at home and abroad couldn’t be more important—because democracy remains at risk around the world: https://t.co/hjDcY6ZtOv,1
119,"If you haven’t read Michelle’s memoir yet, I hope you do—especially if the young readers’ edition might resonate with you or someone you know. Becoming isn’t just a title—it’s a process we all go through, and Miche’s story brings that to life with real honesty and beauty. https://t.co/bO8Y0Kkelz",1
120,"Like so many others, Michelle and I benefited from Vernon Jordan's wise counsel and warm friendship—and deeply admired his tireless fight for civil rights. We hope the memory of his extraordinary presence and the legacy of his work bring comfort to Ann, Vickee, and his family. https://t.co/HBZfGUuyVl",1
121,"Music has always been an important part of my life, and I think it’s safe to say that the same is true for @Springsteen. In this episode, we talked about the songs that’ve made a difference for us—and Bruce even brought out the guitar. Listen on @Spotify: https://t.co/pUlY5kGQnZ https://t.co/vhMRZMgpnE",1
122,"To date, My Brother’s Keeper has touched thousands of lives, and these are just a few stories of the inspiring young men we’ve met. By joining the @MBK_Alliance, you can help us reach even more. https://t.co/ol1G5LLZ8n",1
123,Today marks seven years since we launched My Brother’s Keeper to reduce barriers and expand opportunity for boys and young men of color. And it remains true that the only way our country lives up to its ideals is if our young people can reach their fullest potential. https://t.co/dOoOGPxnNv,1
124,"I first picked up Toni Morrison’s novels when I was entering college, and her voice fundamentally changed my perspective on the world. This Black History Month, I reflected on the impact that her writing has had on my life. https://t.co/zSLkfkHmET https://t.co/W6Yn1YYaSF",1
125,"It was great to hear from this impressive group of young leaders. If there's one thing we can bank on, it’s that young folks like these are our best hope for a more sustainable and just world. https://t.co/r3hzsgwgg3",1
126,"In each of us, there's a story to be shared—a story that’s sacred and can bring us together. I had such a good time talking with the @WellReadBlkGirl Book Club about A Promised Land because just as they learned about my story, I had a chance to learn from theirs. https://t.co/u6vAXUSK5s",1
127,"Even as we focus on fighting COVID-19, it’s important to recognize that there’s another pandemic raging right now—one that’s decades in the making and unique to the United States. We need to treat gun violence with the same urgency and resolve. https://t.co/3nD7uc194V",1
128,"Sending my prayers to @TigerWoods and his family tonight—here’s to a speedy recovery for the GOAT of golf. If we’ve learned anything over the years, it’s to never count Tiger out.",1
129,"Last year, I sat down with my good friend Bruce @Springsteen for a long and meaningful conversation that touched on so much of what we’re all dealing with these days. I’m excited to share it with you over the next few weeks: https://t.co/sQACD08AWx https://t.co/biMoxCLhAG",1
130,"For decades, John Lewis not only gave all of himself to the cause of freedom and justice, but inspired generations that followed to try to live up to his example. On his birthday, we honor his memory, and work toward continuing his legacy by creating change in our communities.",1
131,"I want to share this inspiring book about the events leading up to the 1960 election, from Dr. King's imprisonment to student activism in Atlanta to JFK's campaign. It's a story we can all learn from—a story of overlooked heroes and the power each of us has to create change. https://t.co/yIaNJpRq7M",1
132,Congrats to @NASAJPL on landing @MarsPersevere today! Looking forward to seeing what this mission uncovers—and proud our administration invested in this effort eight years ago to help continue America’s rich tradition of exploration and discovery.,1
133,"I felt inspired and hopeful after speaking with students in @TheTellingRoom’s Young Writers &amp; Leaders program. I wrote #APromisedLand in part because I hoped to reach young people like those in this group—the unique voices of a new generation, energized and unafraid to dream big. https://t.co/LP1Ri8Epva",1
134,"Michelle and I are thinking of everyone across the country braving the winter storms this week. Here’s an overview of how you can help—or, if you’re in Texas, where you can go to stay warm or get support. https://t.co/zDnLrjOZ5i",1
135,"Great news: Thanks to President Biden, starting today, you can go to https://t.co/ob1Ynoesod to sign up for health insurance. If you’re uninsured or hoping to change plans, here’s a good article that can help you figure out if you’re eligible. https://t.co/E2hibv2vRH",1
136,Happy Valentine’s Day to the three who never fail to make me smile. Your dazzling light makes everything brighter. https://t.co/fMcdwf2j20,1
137,"During our time in the White House, Michelle and I were proud to display artwork from artists like Alma Thomas and Charles Alston—whose work provoked thought, challenged our assumptions, and shaped how we define our narrative as a country. https://t.co/eDd76kmlc1",1
138,"There is a lot of disinformation out there, but here’s the truth: You should get a COVID vaccine as soon as it's available to you. It could save your life—or a loved one’s.
https://t.co/jfRr8es6gW",1
139,"Climate change is a real threat to us all—but feeling helpless or overwhelmed isn’t going to solve it. As long as we stay hopeful and keep working with the urgency the challenge demands, we can make a difference. https://t.co/AK1fYVdmzy",1
140,"I’m proud to announce that the Obama Presidential Center will officially break ground in 2021. Our hope is that the center will breathe new life into historic Jackson Park while delivering jobs, growth, and much more to the South Side.

Let’s get to work. https://t.co/cOqoPmaLkf",1
141,"Black-owned independent bookstores play a critical role in communities all across our country. I wanted to show my support, so I dropped in to surprise the folks from @MahoganyBooks &amp; the Very Smart Brothas Book Club. Take a look. https://t.co/sQdc8xY6xY",1
142,"When Jackie Robinson faced down slurs, spiked cleats, and pitches aimed at his head—and stole home anyway—he didn't only change baseball. He changed the world and paved the way for others, including me. On his birthday, we’re called not only to honor that legacy but build on it. https://t.co/d2KDDZNWEN",1
143,"In her extraordinary career, Cicely Tyson was one of the rare award-winning actors whose work on the screen was surpassed only by what she was able to accomplish off of it. She had a heart unlike any other—and for 96 years, she left a mark on the world that few will ever match. https://t.co/JRsL3zlKtP",1
144,".@EkpeUdoh—I saw your tweet about A Promised Land and thought I’d respond. For me, the title of my book is about the work we need to do to realize the promise of becoming a more perfect union, even if we don’t get there in our lifetimes. Glad to see your book club is reading it! https://t.co/aVRMxwt5JH https://t.co/Uz3LMAWD2z",1
145,"Here’s an example of the incredible risks and burdens that our essential workers have been facing. And even as we move toward vaccinating our population, we all need to remain vigilant until we’ve beaten this pandemic.
https://t.co/SKhioxW0Mp",1
146,Hank Aaron was one of the best baseball players we’ve ever seen and one of the strongest people I’ve ever met. Michelle and I send our thoughts and prayers to the Aaron family and everyone who was inspired by this unassuming man and his towering example. https://t.co/2RZdc82Y18,1
147,"This is a time for boldness and President Biden is already delivering.

By rejoining the Paris climate accords on day one, he declared loudly and clearly that the U.S. will once again lead the fight against climate change.

And this is only the beginning. 
https://t.co/6cSS49lkyx",1
148,"Today was a good day.

And it was only possible because of you. Because you made calls. Because you marched. Because you wore your masks and voted like never before.

For four years, you defended our democracy with everything you had—and now, our country can enter a new day. https://t.co/JicHOQCIxt",1
149,"On a day for the history books, @TheAmandaGorman delivered a poem that more than met the moment. Young people like her are proof that ""there is always light, if only we're brave enough to see it; if only we're brave enough to be it."" https://t.co/mbywtvjtEH",1
150,"Congratulations to my friend, President @JoeBiden! This is your time. https://t.co/LXzxGnBAfz",1
151,"On #MLKDay, we celebrate his life but we’re also called to live out his values through service of our own. Here are some ways you can get involved in your community: https://t.co/r9IGEW5dpD",1
